Epoch: [4][20/203], lr: 0.00100	Time 0.478 (1.182)	Data 0.000 (0.696)	Loss 0.0960 (0.2909)	Prec@1 100.000 (88.095)	Prec@2 100.000 (97.619)
Epoch: [4][40/203], lr: 0.00100	Time 0.484 (0.842)	Data 0.000 (0.356)	Loss 0.0017 (0.2289)	Prec@1 100.000 (90.549)	Prec@2 100.000 (97.866)
Epoch: [4][60/203], lr: 0.00100	Time 0.485 (0.725)	Data 0.000 (0.239)	Loss 0.1149 (0.1937)	Prec@1 100.000 (92.008)	Prec@2 100.000 (97.951)
Epoch: [4][80/203], lr: 0.00100	Time 0.500 (0.666)	Data 0.000 (0.180)	Loss 0.0120 (0.1772)	Prec@1 100.000 (92.901)	Prec@2 100.000 (97.994)
Epoch: [4][100/203], lr: 0.00100	Time 0.489 (0.631)	Data 0.000 (0.145)	Loss 0.0004 (0.1630)	Prec@1 100.000 (93.441)	Prec@2 100.000 (98.144)
Epoch: [4][120/203], lr: 0.00100	Time 0.491 (0.607)	Data 0.000 (0.121)	Loss 0.0282 (0.1448)	Prec@1 100.000 (94.215)	Prec@2 100.000 (98.450)
Epoch: [4][140/203], lr: 0.00100	Time 0.498 (0.590)	Data 0.000 (0.104)	Loss 0.0607 (0.1391)	Prec@1 100.000 (94.681)	Prec@2 100.000 (98.582)
Epoch: [4][160/203], lr: 0.00100	Time 0.484 (0.577)	Data 0.000 (0.091)	Loss 0.1036 (0.1389)	Prec@1 100.000 (94.876)	Prec@2 100.000 (98.370)
Epoch: [4][180/203], lr: 0.00100	Time 0.485 (0.567)	Data 0.000 (0.081)	Loss 0.4719 (0.1388)	Prec@1 87.500 (95.028)	Prec@2 87.500 (98.481)
Epoch: [4][200/203], lr: 0.00100	Time 0.484 (0.559)	Data 0.000 (0.073)	Loss 0.3783 (0.1357)	Prec@1 87.500 (95.149)	Prec@2 87.500 (98.570)
Test: [0/88]	Time 14.251 (14.251)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.156 (0.853)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
