frame 370 : x_577.342643737793, y_510.332236289978
frame 371 : x_577.9102325439453, y_475.35301208496094
frame 372 : x_578.5245132446289, y_440.77255725860596
frame 373 : x_578.6155319213867, y_414.7369980812073
frame 374 : x_578.6459541320801, y_396.15113496780396
frame 375 : x_579.9201583862305, y_381.3895654678345
frame 376 : x_581.3065147399902, y_374.1694450378418
frame 377 : x_581.3515090942383, y_378.36992383003235
frame 378 : x_579.4260025024414, y_398.5806155204773
frame 379 : x_574.5952606201172, y_436.69291734695435
frame 380 : x_570.6058120727539, y_484.02753353118896
frame 381 : x_568.0156517028809, y_508.4279537200928
frame 382 : x_567.4722480773926, y_469.90808486938477
frame 383 : x_567.145881652832, y_435.21828174591064
frame 384 : x_568.7253952026367, y_412.13703632354736
frame 385 : x_571.2788581848145, y_394.3897604942322
frame 386 : x_576.1134719848633, y_384.98050689697266
frame 387 : x_578.9957046508789, y_388.35145354270935
frame 388 : x_581.0969161987305, y_405.92939615249634
frame 389 : x_578.2189178466797, y_439.09903049468994
frame 390 : x_576.2763404846191, y_482.59682178497314
frame 391 : x_576.0287666320801, y_515.3769564628601
frame 392 : x_575.2529525756836, y_479.3464136123657
frame 393 : x_574.5366477966309, y_445.54924964904785
frame 394 : x_575.6801223754883, y_417.69163370132446
frame 395 : x_578.8510131835938, y_396.9786071777344
frame 396 : x_583.9987564086914, y_382.90215969085693
frame 397 : x_587.2222328186035, y_381.0869264602661
frame 398 : x_588.4655952453613, y_393.31295013427734
frame 399 : x_586.81396484375, y_420.7128953933716
frame 400 : x_583.0875396728516, y_462.1053457260132
frame 401 : x_580.0155830383301, y_509.0584444999695
frame 402 : x_578.0388641357422, y_488.4145975112915
frame 403 : x_577.1531867980957, y_454.9982213973999
frame 404 : x_576.6902160644531, y_426.95366621017456
frame 405 : x_578.7959289550781, y_406.98309659957886
frame 406 : x_582.8839683532715, y_393.3473467826843
frame 407 : x_588.6400413513184, y_388.8880670070648
frame 408 : x_591.2790107727051, y_397.1187901496887
frame 409 : x_593.7726783752441, y_419.1499400138855
frame 410 : x_591.823844909668, y_454.1150236129761
frame 411 : x_590.313720703125, y_495.4887843132019
frame 412 : x_589.1064262390137, y_497.1583414077759
frame 413 : x_587.7583312988281, y_464.51869010925293
frame 414 : x_586.5364074707031, y_434.51783895492554
frame 415 : x_586.7036247253418, y_409.6533751487732
frame 416 : x_587.3578262329102, y_393.0967426300049
frame 417 : x_589.7536659240723, y_382.7380836009979
frame 418 : x_589.9948310852051, y_383.6795389652252
frame 419 : x_586.7585372924805, y_399.97315406799316
frame 420 : x_580.3882789611816, y_432.6215386390686
frame 421 : x_573.9301872253418, y_476.1294150352478
frame 422 : x_568.3039855957031, y_509.77242708206177
frame 423 : x_567.5237655639648, y_474.0729546546936
frame 424 : x_566.7641830444336, y_438.9289140701294
frame 425 : x_566.7542457580566, y_413.31637144088745
frame 426 : x_569.885368347168, y_393.14547300338745
frame 427 : x_575.5184364318848, y_379.55639362335205
frame 428 : x_580.3932762145996, y_374.05099868774414
frame 429 : x_582.1015357971191, y_384.53694462776184
frame 430 : x_583.2293128967285, y_411.4598536491394
frame 431 : x_581.2970161437988, y_452.4612808227539
frame 432 : x_580.8804702758789, y_497.26067304611206
frame 433 : x_581.0751152038574, y_496.18096590042114
frame 434 : x_580.9746742248535, y_460.65386295318604
frame 435 : x_582.2346687316895, y_431.848783493042
frame 436 : x_586.5548896789551, y_410.5820417404175
frame 437 : x_592.0578193664551, y_395.6865978240967
frame 438 : x_596.89453125, y_392.16352701187134
frame 439 : x_600.0991439819336, y_404.4338822364807
frame 440 : x_597.4516105651855, y_430.5685758590698
frame 441 : x_591.8330574035645, y_470.0612711906433
frame 442 : x_584.5827102661133, y_510.9202837944031
frame 443 : x_579.8909568786621, y_483.60844373703003
frame 444 : x_576.0361862182617, y_450.80440521240234
frame 445 : x_571.866626739502, y_425.6058883666992
frame 446 : x_571.815299987793, y_406.5364122390747
frame 447 : x_574.2496109008789, y_392.68327474594116
frame 448 : x_578.2793235778809, y_387.82135248184204
frame 449 : x_582.5102806091309, y_395.2346992492676
frame 450 : x_584.0476608276367, y_418.32667350769043
frame 451 : x_580.3993797302246, y_458.1936550140381
frame 452 : x_579.5651435852051, y_503.8075375556946
frame 453 : x_580.240421295166, y_489.20923948287964
frame 454 : x_579.5750617980957, y_453.81961584091187
frame 455 : x_580.8691596984863, y_429.64932918548584
frame 456 : x_583.8720512390137, y_409.677472114563
frame 457 : x_589.9590492248535, y_395.3981852531433
frame 458 : x_595.7597923278809, y_389.89020466804504
frame 459 : x_599.2105484008789, y_398.8708519935608
frame 460 : x_598.754768371582, y_423.0932593345642
frame 461 : x_596.0245132446289, y_460.0031590461731
frame 462 : x_592.8933334350586, y_502.00597286224365
frame 463 : x_588.3448219299316, y_493.05747985839844
frame 464 : x_583.1790351867676, y_458.87463569641113
frame 465 : x_581.0317611694336, y_431.812949180603
frame 466 : x_581.3962173461914, y_410.6562852859497
frame 467 : x_583.6203193664551, y_392.8775095939636
frame 468 : x_588.7584686279297, y_383.4983825683594
frame 469 : x_591.1835098266602, y_387.5103235244751
frame 470 : x_590.5779647827148, y_408.2386064529419
frame 471 : x_586.1377716064453, y_445.24736166000366
frame 472 : x_583.3077049255371, y_490.1062345504761
frame 473 : x_580.6465339660645, y_501.2642025947571
